Flow speed U [cm/s],Duration [min],Mass initial M0 [g],Mass final M1 [g],Length initial L0 [cm],Width initial W0 [cm],Depth initial D0 [cm],Front melt [cm],Rear melt [cm],Side melt [cm],Basal melt [cm],Temperature T [C]
0.0,10.0,2142,1930,9.9,14.7,2.9851752021563343,1.035206908554522,1.003013975797961,1.289513396306281,0.8174276840384769,19.0
0.0,10.0,2142,1930,14.7,9.8,2.9851752021563343,1.108687871987657,1.062986709030689,1.262371152583435,0.7866083151442869,19.0
0.0,10.0,3992,3580,24.0,14.8,2.9440221147201107,1.509138764511146,1.414341159683687,1.473380375243883,0.6734081228855531,18.7
0.0,10.0,3648,2992,32.5,22.5,2.800718132854578,1.506592571963563,1.401845413866033,1.613391655340013,0.6660128408388326,19.0
0.0,10.0,4358,3706,32.5,22.5,3.0,1.282616809918697,1.344454701283933,1.618620683040664,0.8112831685713293,18.5
0.0,10.0,4352,3636,32.8,22.7,3.1,1.314653362994475,1.425993789982365,1.758383495701775,0.86723243511894,19.3
1.5,10.0,2353,2110,9.9,14.8,2.9349470499243573,1.892478935281465,0.9673581245402532,1.697639089180493,0.8054078999144014,18.6
1.5,10.0,1544,1252,14.7,10.0,3.1,2.324224085117747,1.243989295258017,1.497418776458415,0.7717733533338991,20.3
1.5,10.0,2260,2026,14.8,9.8,3.0427251732101617,1.773480790210893,0.9023460692208294,1.269995998287777,0.7768108613924811,18.6
1.5,11.816666666666666,3696,3258,20.5,14.7,3.0230769230769234,1.913690332165766,1.901597631407071,1.56231853561388,1.074188541380351,18.8
1.5,10.0,3722,3374,21.5,14.7,3.0,1.827399071227672,1.685431081577812,1.343595105244447,0.8869700850325022,18.7
1.5,10.0,4094,3582,27.1,14.7,3.308383233532934,1.876151060654329,1.854431761127961,1.412362139884674,0.6808587397133938,18.3
1.5,10.0,4502,3824,32.5,22.5,2.8630363036303628,2.111943924012249,1.535372866007066,1.831061427159991,0.9034123418751001,19.2
1.5,10.0,4146,3254,32.5,22.5,3.052543786488741,1.94593415491903,1.726677772512454,1.598811193074578,0.6860355132542746,18.8
3.5,10.0,2316,1930,9.9,14.8,3.048469387755102,3.862353191660418,1.466447054770918,2.323234860223758,1.441979305584549,19.8
3.5,10.0,2468,2106,9.9,14.8,3.0,3.392544006468582,1.318574537463225,2.340417720924483,1.309572951242779,19.0
3.5,10.12,2410,1984,10.0,14.7,3.2,3.739568796314833,1.663165279488195,2.596875345775204,1.3442778454036,19.6
3.5,10.0,2148,1746,14.7,9.9,3.0972468916518645,4.185650322480067,2.088478368992797,2.300821792009712,1.632985701725492,20.2
3.5,10.0,2500,2120,14.8,9.8,2.8063063063063063,3.855279313481819,1.989203976948445,1.88021169297467,1.493713374482645,18.6
3.5,10.0,2204,1858,15.0,10.0,3.1934493346980553,3.964079421382921,1.779228894975798,2.020098798171043,1.531637665726471,20.5
3.5,10.0,3650,3018,20.7,14.7,2.8806907378335946,4.535483120061372,1.103054574064354,1.871626532249982,1.217092250892892,19.3
3.5,11.2,4414,3688,25.7,15.0,3.089832181638697,4.991404698027228,1.379572386862614,2.063608824993523,1.300971914232077,20.3
3.5,10.0,4206,3306,26.0,14.3,3.1121399176954734,3.789964019586129,1.584780662101794,1.816614318684863,1.17194545202445,20.8
3.5,10.0,4422,3686,26.5,15.0,3.090909090909091,3.9353112211027,1.857122173069021,2.220984767162005,1.316770160722786,21.0
3.5,10.0,4464,3298,32.5,22.5,3.0753564154786153,3.784828894815335,1.493901605536287,2.286122428498974,1.215337847088658,19.8
3.5,10.0,4996,3894,32.9,22.8,3.0879080118694366,3.850536454200931,1.090270288658489,2.319554109609202,1.033264306886442,19.1
